index,Event Name,Swim time,Swim date,Event description,Team Code,Team Name,Athlete Full Name,Gender,Athlete birth date,Rank_Order,City,Country Code,Duration (hh:mm:ss:ff)
1100,58th International Trophy “Settecolli”,58.4,6/25/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,44,Rome,ITA,0:0:58:40
1101,Canadian Swimming Trials 2022,58.41,4/5/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,58,Victoria,CAN,0:0:58:41
1102,13th Pan Pacific Championships 2018,58.41,8/10/2018,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,59,Tokyo,JPN,0:0:58:41
1103,British Championships 2016,58.41,4/12/2016,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,45,Glasgow,GBR,0:0:58:41
1104,SNSW State Open Championships 2021,58.42,3/19/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,60,Sydney,AUS,0:0:58:42
1105,Canadian Swimming Trials 2017,58.42,4/6/2017,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,61,Victoria,CAN,0:0:58:42
1106,15th FINA World Championships 2013,58.42,7/30/2013,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,5/10/1995,62,Barcelona,ESP,0:0:58:42
1107,Olympic Games Tokyo 2020,58.43,7/27/2021,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,1/25/2000,63,Tokyo,JPN,0:0:58:43
1108,Atlanta Classic 2021,58.43,5/15/2021,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,1/25/2000,64,Atlanta,USA,0:0:58:43
1109,2011 Canada Cup,58.43,11/25/2011,Women 100 Backstroke LCM Female,CAN,Canada,"RUSSELL, Sinead",F,6/15/1993,65,Toronto,CAN,0:0:58:43
1110,Antwerp Diamond Speedo Race,58.43,3/7/2020,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,46,Antwerp,BEL,0:0:58:43
1111,European Championships 2021,58.44,5/20/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10/3/1997,66,Budapest,HUN,0:0:58:44
1112,European Championships 2022,58.44,8/11/2022,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,47,Rome,ITA,0:0:58:44
1113,Olympic Games Tokyo 2020,58.45,7/27/2021,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,67,Tokyo,JPN,0:0:58:45
1114,Counsilman Classic 2019,58.45,6/15/2019,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,68,Indianapolis,USA,0:0:58:45
1115,Olympic Games Rio 2016,58.45,8/8/2016,Women 100 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,69,Rio de Janeiro,BRA,0:0:58:45
1116,European Championships 2021,58.45,5/17/2021,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,48,Budapest,HUN,0:0:58:45
1117,Olympic Games Tokyo 2020,58.46,7/26/2021,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,1/25/2000,70,Tokyo,JPN,0:0:58:46
1118,19th FINA World Championships Budapest 2022,58.46,6/18/2022,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,49,Budapest,HUN,0:0:58:46
1119,European Championships 2021,58.46,5/17/2021,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,8/2/1994,50,Budapest,HUN,0:0:58:46
1120,18th FINA World Championships 2019,58.46,7/22/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,11/12/1993,51,Gwangju,KOR,0:0:58:46
1121,Olympic Games London 2012,58.46,7/29/2012,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,5/25/1988,52,London,GBR,0:0:58:46
1122,Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2021,58.47,6/6/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,53,Barcelona,ESP,0:0:58:47
1123,Canadian Swimming Trials 2022,58.48,4/5/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,71,Victoria,CAN,0:0:58:48
1124,May High Performance Test Event,58.48,5/7/2021,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,72,Toronto,CAN,0:0:58:48
1125,13th FINA World Championships 2009,58.48,7/27/2009,Women 100 Backstroke LCM Female,RUS,Russian Federation,"ZUEVA, Anastasia",F,5/8/1990,73,Rome,ITA,0:0:58:48
1126,Australian National Championships (50m),58.49,5/20/2022,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,74,Adelaide,AUS,0:0:58:49
1127,European Championships 2021,58.49,5/21/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10/3/1997,75,Budapest,HUN,0:0:58:49
1128,Belarus National Championships (50m),58.49,4/17/2019,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,8/2/1994,54,Brest,BLR,0:0:58:49
1129,16th FINA World Championships 2015,58.49,8/2/2015,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,5/25/1988,55,Kazan,RUS,0:0:58:49
1130,US Olympic Team Trials - Wave II,58.5,6/14/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMOLIGA, Olivia",F,10/12/1994,76,Omaha,USA,0:0:58:50
1131,18th FINA World Championships 2019,58.5,7/22/2019,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,77,Gwangju,KOR,0:0:58:50
1132,Olympic Games London 2012,58.5,8/4/2012,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,5/10/1995,78,London,GBR,0:0:58:50
1133,US Olympic Team Trials - Wave II,58.5,6/13/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,7/3/1993,56,Omaha,USA,0:0:58:50
1134,British Swimming Championships (50m),58.5,4/16/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,57,Glasgow,GBR,0:0:58:50
1135,FINA/airweave Swimming World Cup 2015,58.51,11/7/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,79,Dubai,UAE,0:0:58:51
1136,Phillips 66 International Team Trials 2022,58.51,4/29/2022,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,4/18/1999,58,Greensboro,USA,0:0:58:51
1137,Swimmeet Amsterdam,58.52,7/3/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,59,Amsterdam,NED,0:0:58:52
1138,Antwerp Diamond Speedo Race,58.52,3/7/2020,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,60,Antwerp,BEL,0:0:58:52
1139,16th FINA World Championships 2015,58.52,8/3/2015,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,61,Kazan,RUS,0:0:58:52
1140,16th FINA World Championships 2015,58.52,8/2/2015,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,62,Kazan,RUS,0:0:58:52
1141,17th FINA World Championships 2017,58.53,7/30/2017,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,80,Budapest,HUN,0:0:58:53
1142,26th International Meeting Uster 2018,58.54,2/4/2018,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,81,Uster,SUI,0:0:58:54
1143,17th FINA World Championships 2017,58.54,7/30/2017,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,82,Budapest,HUN,0:0:58:54
1144,Counsilman Classic 2019,58.55,6/15/2019,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,83,Indianapolis,USA,0:0:58:55
1145,Canadian Swimming Trials 2019,58.55,4/3/2019,Women 100 Backstroke LCM Female,CAN,Canada,"RUCK, Taylor",F,5/28/2000,84,Toronto,CAN,0:0:58:55
1146,19th FINA World Championships Budapest 2022,58.55,6/18/2022,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,7/3/1993,63,Budapest,HUN,0:0:58:55
1147,Olympic Games Tokyo 2020,58.56,7/26/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10/3/1997,85,Tokyo,JPN,0:0:58:56
1148,TYR Pro Swim Series Des Moines 2020,58.56,3/7/2020,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,86,Des Moines,USA,0:0:58:56
1149,16th FINA World Championships 2015,58.56,8/3/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,87,Kazan,RUS,0:0:58:56
1150,British National Championships (50m),58.56,4/18/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,64,Sheffield,GBR,0:0:58:56
1151,19th FINA World Championships Budapest 2022,58.57,6/19/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,88,Budapest,HUN,0:0:58:57
1152,Mare Nostrum - Meeting International de Canet-en-Roussillon 2022,58.57,5/29/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,89,Canet en Roussillon,FRA,0:0:58:57
1153,Hancock Prospecting Australian Swimming Trials 2021,58.57,6/13/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,90,Adelaide,AUS,0:0:58:57
1154,US National Championships (50m),58.57,6/30/2017,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,91,Indianapolis,USA,0:0:58:57
1155,Olympic Games London 2012,58.57,8/3/2012,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,92,London,GBR,0:0:58:57
1156,Italian National Championships (50m),58.57,4/10/2022,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,65,Milano,ITA,0:0:58:57
1157,17th FINA World Championships 2017,58.58,7/25/2017,Women 100 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,93,Budapest,HUN,0:0:58:58
1158,British National Championships (50m),58.58,4/5/2022,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,66,Sheffield,GBR,0:0:58:58
1159,European Championships 2021,58.58,5/18/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,11/12/1993,67,Budapest,HUN,0:0:58:58
1160,Belarus National Championships (50m),58.58,4/17/2019,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,8/2/1994,68,Brest,BLR,0:0:58:58
1161,13th FINA World Championships 2009,58.58,7/27/2009,Men 100 Breaststroke LCM Male,AUS,Australia,"RICKARD, Brenton",M,10/19/1983,69,Rome,ITA,0:0:58:58
1162,Phillips 66 International Team Trials 2022,58.59,4/29/2022,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,1/25/2000,94,Greensboro,USA,0:0:58:59
1163,Olympic Games Tokyo 2020,58.59,7/26/2021,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,95,Tokyo,JPN,0:0:58:59
1164,Hancock Prospecting Australian Swimming Trials 2021,58.59,6/13/2021,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,96,Adelaide,AUS,0:0:58:59
1165,17th FINA World Championships 2017,58.59,7/25/2017,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,97,Budapest,HUN,0:0:58:59
1166,FINA/airweave Swimming World Cup 2015,58.59,9/30/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,98,Beijing,CHN,0:0:58:59
1167,21st Commonwealth Games 2018,58.59,4/6/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,70,Gold Coast,AUS,0:0:58:59
1168,16th FINA World Championships 2015,58.59,8/3/2015,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,5/25/1988,71,Kazan,RUS,0:0:58:59
1169,16th FINA World Championships 2015,58.59,8/2/2015,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,5/25/1988,72,Kazan,RUS,0:0:58:59
1170,22nd Commonwealth Games 2022,58.6,7/31/2022,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,99,Birmingham,GBR,0:0:58:60
1171,US Olympic Team Trials - Wave II,58.6,6/15/2021,Women 100 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,1/25/2000,100,Omaha,USA,0:0:58:60
1172,Hancock Prospecting Australian Swimming Club Championships 2021,58.6,4/15/2021,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,101,Gold Coast,AUS,0:0:58:60
1173,18th FINA World Championships 2019,58.6,7/23/2019,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,102,Gwangju,KOR,0:0:58:60
1174,18th FINA World Championships 2019,58.6,7/22/2019,Women 100 Backstroke LCM Female,AUS,Australia,"ATHERTON, Minna",F,5/17/2000,103,Gwangju,KOR,0:0:58:60
1175,Phillips 66 International Team Trials 2022,58.61,4/29/2022,Women 100 Backstroke LCM Female,USA,United States of America,"BERKOFF, Katharine",F,1/28/2001,104,Greensboro,USA,0:0:58:61
1176,13th Pan Pacific Championships 2018,58.61,8/10/2018,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,105,Tokyo,JPN,0:0:58:61
1177,FINA Champions Swim Series 2020,58.61,1/14/2020,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,73,Shenzen,CHN,0:0:58:61
1178,55th International Trophy “Settecolli”,58.61,6/29/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,74,Rome,ITA,0:0:58:61
1179,US Olympic Team Trials - Wave II,58.62,6/14/2021,Women 100 Backstroke LCM Female,USA,United States of America,"BERKOFF, Katharine",F,1/28/2001,106,Omaha,USA,0:0:58:62
1180,17th FINA World Championships 2017,58.62,7/24/2017,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,107,Budapest,HUN,0:0:58:62
1181,Hancock Prospecting Australian,58.62,4/10/2017,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,108,Brisbane,AUS,0:0:58:62
1182,19th FINA World Championships Budapest 2022,58.62,6/19/2022,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,75,Budapest,HUN,0:0:58:62
1183,Olympic Games Tokyo 2020,58.62,7/24/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,4/18/1999,76,Tokyo,JPN,0:0:58:62
1184,USA Winter National Championships (50m),58.63,12/6/2019,Women 100 Backstroke LCM Female,USA,United States of America,"BACON, Phoebe",F,8/12/2002,109,Atlanta,USA,0:0:58:63
1185,13th Pan Pacific Championships 2018,58.63,8/12/2018,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,110,Tokyo,JPN,0:0:58:63
1186,21st Commonwealth Games 2018,58.63,4/7/2018,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,111,Gold Coast,AUS,0:0:58:63
1187,18th FINA World Championships 2019,58.63,7/22/2019,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,10/12/1995,77,Gwangju,KOR,0:0:58:63
1188,Eindhoven Qualification Meet,58.64,4/10/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,78,Eindhoven,NED,0:0:58:64
1189,European Championships 2018,58.64,8/4/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,11/12/1993,79,Glasgow,GBR,0:0:58:64
1190,17th FINA World Championships 2017,58.64,7/23/2017,Men 100 Breaststroke LCM Male,USA,United States of America,"CORDES, Kevin",M,8/13/1993,80,Budapest,HUN,0:0:58:64
1191,13th FINA World Championships 2009,58.64,7/27/2009,Men 100 Breaststroke LCM Male,FRA,France,"DUBOSCQ, Hugues",M,8/29/1981,81,Rome,ITA,0:0:58:64
1192,Eindhoven Qualification Meet,58.65,4/11/2021,Women 100 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,5/22/1994,112,Eindhoven,NED,0:0:58:65
1193,19th FINA World Championships Budapest 2022,58.65,6/19/2022,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,7/3/1993,82,Budapest,HUN,0:0:58:65
1194,Swimcup Amsterdam,58.65,12/14/2019,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,83,Amsterdam,NED,0:0:58:65
1195,21st Commonwealth Games 2018,58.66,4/7/2018,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,113,Gold Coast,AUS,0:0:58:66
1196,21st Commonwealth Games 2018,58.66,4/6/2018,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,114,Gold Coast,AUS,0:0:58:66
1197,Olympic Games Rio 2016,58.66,8/12/2016,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,115,Rio de Janeiro,BRA,0:0:58:66
1198,British Swimming Championships (50m),58.66,4/16/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,11/12/1993,84,Glasgow,GBR,0:0:58:66
1199,19th FINA World Championships Budapest 2022,58.67,6/20/2022,Women 100 Backstroke LCM Female,USA,United States of America,"CURZAN, Claire",F,6/30/2004,116,Budapest,HUN,0:0:58:67
1200,US National Championships (50m),58.67,6/25/2013,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,5/10/1995,117,Indianapolis,USA,0:0:58:67
1201,TYR Pro Swim Series Indianapolis 2021,58.67,5/13/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,4/18/1999,85,Indianapolis,USA,0:0:58:67
1202,18th FINA World Championships 2019,58.67,7/21/2019,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,10/12/1995,86,Gwangju,KOR,0:0:58:67
1203,Ukrainian National Cup,58.67,6/13/2009,Men 100 Breaststroke LCM Male,UKR,Ukraine,"BORYSIK, Igor",M,6/2/1984,87,Donetsk,UKR,0:0:58:67
1204,USA Winter National Championships (50m),58.68,12/6/2019,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,118,Atlanta,USA,0:0:58:68
1205,Olympic Games London 2012,58.68,7/30/2012,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,119,London,GBR,0:0:58:68
1206,Q-Cup Heidelberg,58.68,4/2/2022,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,88,Heidelberg,GER,0:0:58:68
1207,Olympic Games Tokyo 2020,58.68,7/24/2021,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,8/1/1999,89,Tokyo,JPN,0:0:58:68
1208,Belarus National Championships (50m),58.68,4/21/2021,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,8/2/1994,90,Brest,BLR,0:0:58:68
1209,Eindhoven Qualification Meet,58.68,4/10/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,91,Eindhoven,NED,0:0:58:68
1210,European Championships 2014,58.68,8/18/2014,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,92,Berlin,GER,0:0:58:68
1211,Toyota US Open 2021,58.69,12/3/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,120,Greensboro,USA,0:0:58:69
1212,Olympic Games Tokyo 2020,58.69,7/25/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10/3/1997,121,Tokyo,JPN,0:0:58:69
1213,19th FINA World Championships Budapest 2022,58.69,6/18/2022,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,93,Budapest,HUN,0:0:58:69
1214,Rotterdam Qualification Meet,58.69,12/5/2020,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,94,Rotterdam,NED,0:0:58:69
1215,Olympic Games Rio 2016,58.69,8/7/2016,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,5/25/1988,95,Rio de Janeiro,BRA,0:0:58:69
1216,Olympic Games Tokyo 2020,58.7,7/27/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,10/3/1997,122,Tokyo,JPN,0:0:58:70
1217,21st Commonwealth Games 2018,58.7,4/6/2018,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,123,Gold Coast,AUS,0:0:58:70
1218,McDonalds Queensland Championships 2015,58.7,12/14/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,124,Brisbane,AUS,0:0:58:70
1219,15th FINA World Championships 2013,58.7,8/4/2013,Women 100 Backstroke LCM Female,JPN,Japan,"TERAKAWA, Aya",F,11/12/1984,125,Barcelona,ESP,0:0:58:70
1220,Eindhoven Qualification Meet,58.71,4/10/2022,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,96,Eindhoven,NED,0:0:58:71
1221,14th FINA World Championships 2011,58.71,7/25/2011,Men 100 Breaststroke LCM Male,NOR,Norway,"DALE OEN, Alexander",M,5/21/1985,97,Shanghai,CHN,0:0:58:71
1222,US Olympic Team Trials - Wave II,58.72,6/15/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMOLIGA, Olivia",F,10/12/1994,126,Omaha,USA,0:0:58:72
1223,13th Pan Pacific Championships 2018,58.72,8/10/2018,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,127,Tokyo,JPN,0:0:58:72
1224,National Chinese Championships (50m),58.72,4/8/2017,Women 100 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,1/7/1996,128,Qingdae,CHN,0:0:58:72
1225,FINA/airweave Swimming World Cup 2015,58.72,10/4/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,129,Singapore,SGP,0:0:58:72
1226,Olympic Games Tokyo 2020,58.72,7/25/2021,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,10/12/1995,98,Tokyo,JPN,0:0:58:72
1227,56th International Trophy “Settecolli”,58.72,6/21/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,99,Rome,ITA,0:0:58:72
1228,54th International Trophy “Settecolli”,58.72,6/23/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,100,Rome,ITA,0:0:58:72
1229,Duel in the Pool 2022,58.73,8/20/2022,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,130,Sydney,AUS,0:0:58:73
1230,22nd Commonwealth Games 2022,58.73,7/31/2022,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,131,Birmingham,GBR,0:0:58:73
1231,TYR Pro Swim Series San Antonio 2022,58.73,4/1/2022,Women 100 Backstroke LCM Female,USA,United States of America,"CURZAN, Claire",F,6/30/2004,132,San Antonio,USA,0:0:58:73
1232,European Championships 2021,58.73,5/20/2021,Women 100 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,5/22/1994,133,Budapest,HUN,0:0:58:73
1233,TYR Pro Swim Series Richmond 2019,58.73,4/12/2019,Women 100 Backstroke LCM Female,USA,United States of America,"SMOLIGA, Olivia",F,10/12/1994,134,Richmond,USA,0:0:58:73
1234,European Championships 2016,58.73,5/19/2016,Women 100 Backstroke LCM Female,DEN,Denmark,"NIELSEN, Mie Oe",F,9/25/1996,135,London,GBR,0:0:58:73
1235,Australian National Championships (50m),58.73,4/8/2016,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,136,Adelaide,AUS,0:0:58:73
1236,US Olympic Team Trials - Wave II,58.73,6/14/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,4/18/1999,101,Omaha,USA,0:0:58:73
1237,Chinese National Championships (50m),58.73,9/28/2020,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,10/12/1995,102,Qingdao,CHN,0:0:58:73
1238,FINA Swimming World Cup 2019,58.73,8/2/2019,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,8/2/1994,103,Tokyo,JPN,0:0:58:73
1239,Edinburgh International Swim Meet,58.73,3/16/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,104,Edinburgh,GBR,0:0:58:73
1240,Eindhoven Qualification Meet,58.74,4/11/2021,Women 100 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,5/22/1994,137,Eindhoven,NED,0:0:58:74
1241,13th FINA World Championships 2009,58.74,7/27/2009,Women 100 Backstroke LCM Female,GBR,Great Britain,"SPOFFORTH, Gemma",F,11/17/1987,138,Rome,ITA,0:0:58:74
1242,US Olympic Team Trials - Wave II,58.74,6/14/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"WILSON, Andrew",M,9/16/1993,105,Omaha,USA,0:0:58:74
1243,European Championships 2021,58.74,5/17/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,106,Budapest,HUN,0:0:58:74
1244,Mission Viejo Swim Meet of Champions,58.74,6/23/2019,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,10/12/1995,107,Mission Viejo,USA,0:0:58:74
1245,US National Championships (50m),58.74,6/30/2017,Men 100 Breaststroke LCM Male,USA,United States of America,"CORDES, Kevin",M,8/13/1993,108,Indianapolis,USA,0:0:58:74
1246,European Championships 2016,58.74,5/16/2016,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,109,London,GBR,0:0:58:74
1247,British Championships 2016,58.74,4/12/2016,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,12/28/1994,110,Glasgow,GBR,0:0:58:74
